patent_number,publication_number,description
US10142329,US20180010142A1,Multiple-factor authentication system for enhanced security
US10063567,US20170010063A1,Cross-host multi-thread session alignment technology
US10284570,US20190010284A1,Threat detection system for computer-based devices
US10116559,US20180010165A1,Security policy enforcement and compliance platform
US10097584,US20170010097A1,Incident response automation and orchestration system
US10187231,US20180010187A1,Advanced malware detection and analysis platform
US10200358,US20190010200A1,Network traffic analysis and anomaly detection
US10129242,US20180010129A1,Data encryption and key management system
US10091295,US20170010091A1,Identity verification and access control platform
US10114966,US20180010149A1,Cybersecurity threat intelligence and correlation engine
