patent_number,publication_number,description
US10142329,US20180010142A1,Cybersecurity threat detection and response system
US10063567,US20170010063A1,Network security monitoring and analysis platform
US10284570,US20190010284A1,Advanced malware detection and prevention system
US10116559,US20180010165A1,Cybersecurity incident response and automation platform
US10097584,US20170010097A1,Threat intelligence correlation and analysis system
US10187231,US20180010187A1,Endpoint security and behavioral analysis platform
US10200358,US20190010200A1,Network traffic anomaly detection and response
US10129242,US20180010129A1,Data encryption and key management system
US10091295,US20170010091A1,Identity verification and access control platform
US10114966,US20180010149A1,Cybersecurity threat intelligence platform
US10284571,US20190010285A1,Cloud security monitoring and compliance system
US10142330,US20180010143A1,Industrial control system cybersecurity platform
US10063568,US20170010064A1,AI-powered threat detection and response
US10284572,US20190010286A1,Zero-trust network security architecture
US10116560,US20180010166A1,Cybersecurity risk assessment and management
