patent_number,publication_number,description
US10419470,US20190010419A1,Cybersecurity threat detection using machine learning
US10320813,US20180010320A1,Network security monitoring and anomaly detection
US10284570,US20190010284A1,Endpoint security and behavioral analysis
US10142329,US20180010142A1,Cybersecurity incident response automation
US10063567,US20170010063A1,Threat intelligence correlation platform
US10187231,US20180010187A1,Data encryption and key management system
US10200358,US20190010200A1,Identity verification and access control
US10129242,US20180010129A1,Malware detection and prevention system
US10091295,US20170010091A1,Cloud security monitoring platform
US10114966,US20180010149A1,Cybersecurity risk assessment system
US10284571,US20190010285A1,Industrial control system security
US10142330,US20180010143A1,AI-powered threat detection
US10063568,US20170010064A1,Zero-trust network architecture
US10284572,US20190010286A1,Cybersecurity compliance monitoring
US10116560,US20180010166A1,Threat hunting and response platform
